id,treat.hs,treat.para,rear.temp.avg,rear.temp.var,test.temp,test.time,chamber,date.hatch,date.died,date.coll,coll.loc,date.ovp,time.ovp,num.ovp,date.3,time.3,mass.3,date.in.test,time.in.test,mass.in.test,date.out.test,time.out.test,mass.out.test,date.4,mass.4,date.5,mass.5,inst.6,date.6,mass.6,inst.7,date.7,mass.7,date.wand,mass.wand,mongo,date.died.mongo,date5.2wks,mass5.2wks,date5.3wks,mass5.3wks,date.p6.wk1,mass.p6.wk1,date.p6.wk2,mass.p6.wk2,date.p6.wk3,mass.p6.wk3,date.cull,mass.cull,date.p7.wk1,mass.p7.wk1,date.em,mass.48em,num.em,num.coc,num.fail.spin,num.unem,load,date.ecl,num.ecl,live.fem,live.male,para.pup,para.ecl,in.florence,notes,diss.notes
19,control,p,25,10,35,24,marvin,7/27/18,8/17/18,7/26/18,rm,8/3/18,11:52,1,8/3/18,11:17,29.89,8/3/18,14:55,31.47,8/4/18,14:54,39.63,8/8/18,74.98,8/11/18,129.74,1,8/15/18,155.13,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
20,shock,p,25,10,40,24,wallace,7/27/18,,7/26/18,rm,8/3/18,11:55,1,8/3/18,11:23,37.67,8/3/18,14:55,46.36,8/4/18,14:49,93.26,8/8/18,166.73,8/14/18,853.89,,,,,,,8/22/18,6911.34,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
21,shock,p,25,10,43,24,c3po,7/27/18,8/4/18,7/26/18,rm,8/3/18,11:58,1,8/3/18,11:25,22.37,8/3/18,14:55,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
22,control,np,25,10,35,24,marvin,7/27/18,8/5/18,7/26/18,rm,,,,8/3/18,11:29,17.79,8/3/18,14:55,18.44,8/4/18,14:54,15.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
23,shock,np,25,10,40,24,wallace,7/27/18,,7/26/18,rm,,,,8/3/18,11:30,28.38,8/3/18,14:55,32.3,8/4/18,14:49,66.68,8/7/18,138.65,8/12/18,945.65,,,,,,,8/17/18,7795.03,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
24,shock,np,25,10,43,24,c3po,7/27/18,8/4/18,7/26/18,rm,,,,8/3/18,11:31,27.72,8/3/18,14:55,31.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
25,control,p,25,10,35,24,marvin,7/27/18,,7/26/18,rm,8/3/18,11:51,1,8/3/18,11:34,20.21,8/3/18,14:55,25.83,8/4/18,14:54,52.22,8/7/18,64.39,8/13/18,215.21,,,,,,,,,,,,,,,,,,,,,,,,,8/19/18,479.4,12,10,2,,12,8/24/18,,,,,,,,
26,shock,p,25,10,40,24,wallace,7/27/18,,7/26/18,rm,8/3/18,11:54,1,8/3/18,11:37,34.96,8/3/18,14:55,43.46,8/4/18,14:49,63.98,8/8/18,148.38,8/13/18,706.72,1,8/18/18,3337.33,,,,9/3/18,15710.86,,,,,,,8/26/18,15810.46,9/1/18,16464.04,,,,,,,,,0,,,,0,,,,,,,,,
27,shock,p,25,10,43,24,c3po,7/29/18,8/4/18,7/26/18,rm,8/3/18,11:56,1,8/3/18,11:40,30.4,8/3/18,14:55,42.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
28,control,np,25,10,35,24,marvin,7/29/18,8/23/18,7/26/18,rm,,,,8/3/18,11:41,29.57,8/3/18,14:55,31.06,8/4/18,14:54,49.04,8/9/18,76.5,8/18/18,170.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
29,shock,np,25,10,40,24,wallace,7/29/18,,7/26/18,rm,,,,8/3/18,11:42,26.32,8/3/18,14:55,32.95,8/4/18,14:49,71.1,8/7/18,141.77,8/12/18,1310.9,,,,,,,8/18/18,7242.05,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
30,shock,np,25,10,43,24,c3po,7/29/18,8/4/18,7/26/18,rm,,,,8/3/18,11:44,28.99,8/3/18,14:55,22.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
31,control,p,25,10,35,,marvin,7/27/18,8/4/18,7/26/18,rm,8/3/18,15:18,1,8/3/18,13:56,17.05,8/3/18,16:45,21.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
32,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/3/18,15:09,1,8/3/18,13:55,36.28,8/3/18,16:45,46.64,8/4/18,4:53,78.25,8/8/18,173.87,8/12/18,404.83,1,8/19/18,1683.16,,,,,,,,,,,,8/26/18,5528.7,9/2/18,8437.14,9/9/18,8434.19,9/11/18,8579.69,,,,,0,,,,0,,,,,,,,,
33,shock,p,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,8/3/18,15:26,1,8/3/18,13:54,25.69,8/3/18,16:45,32.18,8/4/18,4:53,23.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
34,control,np,25,10,35,,marvin,7/27/18,,7/26/18,rm,,,,8/3/18,13:59,22.66,8/3/18,16:45,25.81,8/4/18,4:53,31.88,8/8/18,99.1,8/11/18,352.89,1,8/13/18,404.13,1,8/19/18,1459.8,8/27/18,6173.44,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
35,shock,np,25,10,40,,wallace,7/27/18,8/5/18,7/26/18,rm,,,,8/3/18,14:00,19.35,8/3/18,16:45,20.32,8/4/18,4:53,12.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
36,shock,np,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,,,,8/3/18,14:01,25.43,8/3/18,16:45,29.8,8/4/18,4:53,30.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
37,control,p,25,10,35,,marvin,7/27/18,8/5/18,7/26/18,rm,8/3/18,15:16,1,8/3/18,14:03,19.72,8/3/18,16:45,20.69,8/4/18,4:53,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
38,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/3/18,15:08,1,8/3/18,14:04,32.57,8/3/18,16:45,35.77,8/4/18,4:53,85.77,8/7/18,129.07,8/12/18,773.05,,,,,,,8/20/18,7174.55,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
39,shock,p,25,10,43,,c3po,7/27/18,8/4/18,7/26/18,rm,8/3/18,15:24,1,8/3/18,14:05,16.94,8/3/18,16:45,17.39,8/4/18,4:53,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
40,control,np,25,10,35,,marvin,7/27/18,,7/26/18,rm,,,,8/3/18,14:08,25.36,8/3/18,16:45,31.13,8/4/18,4:53,103.32,8/7/18,99.36,8/12/18,609.4,,,,,,,8/18/18,2792.65,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
41,shock,np,25,10,40,,wallace,7/27/18,8/13/18,7/26/18,rm,,,,8/3/18,14:09,22.85,8/3/18,16:45,24.26,8/4/18,4:53,24.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
42,shock,np,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,,,,8/3/18,14:10,17.29,8/3/18,16:45,18.83,8/4/18,4:53,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
43,control,p,25,10,35,,marvin,7/27/18,8/5/18,7/26/18,rm,8/3/18,15:15,2,8/3/18,14:12,32.08,8/3/18,16:45,33.76,8/4/18,4:53,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
44,shock,p,25,10,40,,wallace,7/28/18,,7/26/18,rm,8/3/18,15:07,1,8/3/18,14:14,23.66,8/3/18,16:45,25.44,8/4/18,4:53,41.55,8/8/18,62.65,8/14/18,201.23,1,8/24/18,725.32,,,,9/5/18,5774.13,,,,,,,8/31/18,2261.44,,,,,,,,,,,0,,,,0,,,,,1,,,,
45,shock,p,25,10,43,,c3po,7/28/18,8/4/18,7/26/18,rm,8/3/18,15:23,1,8/3/18,14:16,30.67,8/3/18,16:45,34.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
46,control,np,25,10,35,,marvin,7/28/18,8/8/18,7/26/18,rm,,,,8/3/18,14:18,31.29,8/3/18,16:45,35.45,8/4/18,4:53,34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
47,shock,np,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/3/18,14:19,44.47,8/3/18,16:45,45.82,8/4/18,4:53,94.84,8/7/18,136.67,8/12/18,674.89,,,,,,,8/20/18,6078.74,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
48,shock,np,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,,,,8/3/18,14:20,35.32,8/3/18,16:45,33.71,8/4/18,4:53,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
49,control,p,25,10,35,,marvin,7/28/18,,7/26/18,rm,8/3/18,15:13,1,8/3/18,14:36,33.24,8/3/18,16:45,39.12,8/4/18,4:53,47.8,8/9/18,66.97,8/14/18,210.83,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,,13,12,1,,13,8/26/18,,,,,,,died post wasp emergence but prior to 48 hrs post emerg.,
50,shock,p,25,10,40,,wallace,7/28/18,8/4/18,7/26/18,rm,8/3/18,15:06,1,8/3/18,14:37,24.95,8/3/18,16:45,26.41,8/4/18,4:53,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
51,shock,p,25,10,43,,c3po,7/28/18,8/4/18,7/26/18,rm,8/3/18,15:21,1,8/3/18,14:38,35.55,8/3/18,16:45,29.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,horn damaged at ovp,
52,control,np,25,10,35,,marvin,7/28/18,8/7/18,7/26/18,rm,,,,8/3/18,14:39,31.74,8/3/18,16:45,29.6,8/4/18,4:53,25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
53,shock,np,25,10,40,,wallace,7/28/18,8/17/18,7/26/18,rm,,,,8/3/18,14:40,29.59,8/3/18,16:45,29.29,8/4/18,4:53,24.93,8/9/18,51.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
54,shock,np,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,,,,8/3/18,14:41,31.73,8/3/18,16:45,36.33,8/4/18,4:53,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
55,control,p,25,10,35,,marvin,7/28/18,,7/26/18,rm,8/3/18,15:12,1,8/3/18,14:42,19.86,8/3/18,16:45,22.57,8/4/18,4:53,46.34,8/7/18,54.19,8/13/18,268.21,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,1119.07,62,61,1,,62,8/26/18,,,,,,,,
56,shock,p,25,10,40,,wallace,7/28/18,9/11/18,7/26/18,rm,8/3/18,15:04,1,8/3/18,14:43,28.2,8/3/18,16:45,27.3,8/4/18,4:53,57.61,8/7/18,79.82,8/12/18,317.14,1,8/17/18,1565.61,,,,,,,,,,,,8/26/18,10622.48,8/31/18,10184.5,9/7/18,10755.85,9/11/18,9312.6,,,,,0,,,,0,,,,,,,,bled from unknown cause at p6 wk2 ,
57,shock,p,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,8/3/18,15:20,1,8/3/18,14:44,34.96,8/3/18,16:45,37.36,8/4/18,4:53,23.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
58,control,np,25,10,35,,marvin,7/28/18,8/6/18,7/26/18,rm,,,,8/3/18,14:45,20.86,8/3/18,16:45,17.93,8/4/18,4:53,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
59,shock,np,25,10,40,,wallace,7/28/18,8/5/18,7/26/18,rm,,,,8/3/18,14:46,35.98,8/3/18,16:45,36.05,8/4/18,4:53,101.57,8/7/18,117.39,8/11/18,570.68,,,,,,,8/17/18,5501.86,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
60,shock,np,25,10,43,,c3po,7/28/18,,7/26/18,rm,,,,8/3/18,14:47,23.21,8/3/18,16:45,19.42,8/4/18,4:53,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
61,control,np,25,10,35,,marvin,7/28/18,8/23/18,7/26/18,rm,,,,8/3/18,15:06,19.54,8/3/18,16:45,17.47,8/4/18,4:53,36.82,8/7/18,87.84,8/14/18,348.39,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
62,shock,np,25,10,40,,wallace,7/29/18,,7/26/18,rm,,,,8/3/18,15:07,23.53,8/3/18,16:45,25.53,8/4/18,4:53,62.83,8/7/18,78.66,8/11/18,242.92,1,8/15/18,1163.19,,,,8/21/18,7178.12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
63,shock,np,25,10,43,,c3po,7/27/18,8/4/18,7/26/18,rm,,,,8/3/18,13:09,15.56,8/3/18,16:45,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
64,shock,np,25,10,43,,c3po,7/27/18,8/27/18,7/26/18,rm,,,,8/3/18,13:11,18.78,8/3/18,16:45,17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
65,control,p,25,10,35,,marvin,7/27/18,8/20/18,7/26/18,rm,8/4/18,9:03,1,8/4/18,8:21,29.53,8/4/18,13:15,27.19,8/5/18,13:20,45.46,8/8/18,95.09,8/14/18,136.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
66,control,p,25,10,35,,marvin,7/27/18,,7/26/18,rm,8/4/18,9:01,2,8/4/18,8:23,30.28,8/4/18,13:15,41.57,8/5/18,13:20,81.8,8/7/18,81.52,8/12/18,225.91,,,,,,,,,,,,,,,,,,,,,,,,,8/19/18,582.27,6,3,3,,6,8/26/18,,,,,,,,
67,shock,np,25,10,40,,wallace,7/27/18,,7/26/18,rm,,,,8/4/18,8:24,39.81,8/4/18,13:15,54.87,8/5/18,13:20,80.88,8/8/18,192.74,8/14/18,1141.89,,,,,,,8/21/18,8524.66,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
68,shock,np,25,10,43,,c3p0,7/27/18,8/5/18,7/26/18,rm,,,,8/4/18,8:27,12.69,8/4/18,13:15,12.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
69,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/4/18,9:10,2,8/4/18,8:30,46.2,8/4/18,13:15,53.99,8/5/18,13:20,56.92,8/10/18,237.41,8/14/18,895.82,,,,,,,,,,,8/28/18,7264.87,,,9/4/18,7087.41,,,,,9/11/18,6380.52,,,,,0,,,,0,,,,,,,,,
70,shock,p,25,10,43,,c3p0,7/28/18,8/5/18,7/26/18,rm,8/4/18,9:13,1,8/4/18,8:50,34.33,8/4/18,13:15,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
71,shock,p,25,10,40,,wallace,7/28/18,8/21/18,7/26/18,rm,8/4/18,9:09,2,8/4/18,8:52,51.89,8/4/18,13:15,58.46,8/5/18,13:20,59.74,8/10/18,77.97,8/16/18,233.69,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
72,shock,p,25,10,43,,marvin,7/28/18,8/5/18,7/26/18,rm,8/4/18,9:12,1,8/4/18,8:53,44.72,8/4/18,13:15,57.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,"pretty sure this is a Q, died during trial",
73,control,np,25,10,35,,marvin,7/27/18,8/5/18,7/26/18,rm,,,,8/4/18,13:26,19.48,8/4/18,18:05,15.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
74,shock,np,25,10,40,,wallace,7/27/18,9/11/18,7/26/18,rm,,,,8/4/18,13:35,35.81,8/4/18,18:05,34,8/5/18,17:55,70.41,8/9/18,97.02,8/13/18,264.23,1,8/22/18,102691,,,,,,,,,,,,8/29/18,1379.17,9/6/17,2315.98,,,,,,,,,0,,,,0,,,,,,,,,
75,shock,np,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,,,,8/4/18,13:36,30.36,8/4/18,18:05,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
76,control,p,25,10,35,,marvin,7/27/18,8/5/18,7/26/18,rm,8/4/18,15:29,3,8/4/18,13:37,22.38,8/4/18,18:05,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
77,shock,p,25,10,40,,wallace,7/27/18,,7/26/18,rm,8/4/18,15:50,1,8/4/18,13:38,29.97,8/4/18,18:05,32.95,8/5/18,17:55,54.95,8/9/18,111.06,8/15/18,380.26,1,8/20/18,1263.84,,,,,,,,,,,,8/27/18,3813.55,9/3/18,4443.11,9/10/18,4347.09,9/11/18,4245.51,,,,,0,,,,0,,,,,,,,,
78,shock,p,25,10,43,,c3po,7/27/18,8/5/18,7/26/18,rm,8/4/18,16:03,1,8/4/18,13:39,45.5,8/4/18,18:05,45.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
79,control,np,25,10,35,,marvin,7/28/18,,7/26/18,rm,,,,8/4/18,13:34,30.21,8/4/18,18:05,46.79,8/5/18,17:55,75.73,8/8/18,76.42,8/13/18,179.45,1,8/19/18,1053.03,,,,8/26/18,6914.55,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
80,shock,np,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/4/18,13:37,37.71,8/4/18,18:05,37.19,8/5/18,17:55,91.55,8/8/18,123.32,8/13/18,845.12,,,,,,,8/18/18,6338.19,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
81,shock,np,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,,,,8/4/18,13:41,29.37,8/4/18,18:05,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
82,control,p,25,10,35,,marvin,7/28/18,,7/26/18,rm,8/4/18,15:30,1,8/4/18,13:43,34.1,8/4/18,18:05,29.91,8/5/18,17:55,49.44,8/8/18,36.19,8/13/18,146.68,,,,,,,,,,,,,,,,,,,,,,,,,8/20/18,229.86,6,5,1,,6,8/27/18,,,,,,,,
83,shock,p,25,10,40,,wallace,7/28/18,,7/26/18,rm,,,,8/4/18,13:45,15.2,8/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,was not a third,
84,shock,p,25,10,43,,c3po/r2d2,7/28/18,8/5/18,7/26/18,rm,8/4/18,16:04,1,8/4/18,13:47,33.71,8/4/18,18:05,38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,moved from c3po to R2D2 at 4:30pm,
85,control,p,25,10,35,,marvin,7/28/18,8/24/18,7/26/18,rm,8/4/18,15:31,1,8/4/18,13:42,27.61,8/4/18,18:05,33.88,8/5/18,17:55,51.96,8/9/18,51.18,8/16/18,132.72,,,,,,,,,,,,,,,,,,,,,,,,,8/22/18,,2,1,1,,2,,0,,,,,,bled at molt to 5th. died after emergance but before 48 hrs post emeergance. wasp cocoons culled 10/9/18.,
86,shock,p,25,10,40,,wallace,7/28/18,8/12/18,7/26/18,rm,8/4/18,15:52,1,8/4/18,13:44,30.41,8/4/18,18:05,32.67,8/5/18,17:55,57.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
87,shock,p,25,10,43,,c3po,7/28/18,8/4/18,7/26/18,rm,,,,8/4/18,13:45,43.29,8/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,missing/dead,
88,control,np,25,10,35,,marvin,7/28/18,,7/26/18,rm,,,,8/4/18,13:47,29.63,8/4/18,18:05,41.56,8/5/18,17:55,45.16,8/8/18,78.04,8/12/18,266.32,1,8/21/18,918.59,,,,8/28/18,6744.4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
89,shock,np,25,10,40,,wallace,7/28/18,8/5/18,7/26/18,rm,,,,8/4/18,13:48,21.96,8/4/18,18:05,20.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
90,shock,np,25,10,43,,c3po,7/28/18,8/5/18,7/26/18,rm,,,,8/4/18,13:49,55.87,8/4/18,18:05,67.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
